c1, c2, w, penalty, epochs
0.601321,1.7986,1,329.594,600
intacia, melhor_gap, melhor_fit, gap_medio, fit_medio, fobj_medio, dp, tempo(ms)
data\OR5x500-0.25_3.dat, 8.15976, 111247, 15.7984, -7.96189e+07, 101994, 4.82106, 41848
data\OR5x500-0.25_4.dat, 9.05847, 109861, 15.726, -8.00714e+07, 101806, 4.49427, 41460
data\OR5x500-0.25_5.dat, 9.50793, 110689, 16.2866, -7.42772e+07, 102397, 4.81499, 41653
data\OR5x500-0.25_6.dat, 8.55078, 111590, 17.9458, -8.4193e+07, 100126, 5.19906, 41394
data\OR5x500-0.25_7.dat, 3.97811, 114388, 15.7131, -8.37109e+07, 100408, 5.35009, 41253
data\OR5x500-0.25_8.dat, 8.07511, 110832, 16.9124, -7.85893e+07, 100177, 5.88981, 41755
data\OR5x500-0.25_9.dat, 7.55926, 112395, 15.241, -8.21045e+07, 103055, 5.05041, 40988
data\OR5x500-0.50_1.dat, 9.80048, 197021, 11.919, 192394, 192394, 0.589879, 44747
data\OR5x500-0.50_10.dat, 9.52808, 198784, 11.9937, 193367, 193367, 0.659868, 44740
data\OR5x500-0.50_2.dat, 7.39686, 204840, 11.7566, 195196, 195196, 1.0562, 42614
