c1, c2, w, penalty, epochs
0.670175,0.935928,1,0,600
intacia, melhor_gap, melhor_fit, gap_medio, fit_medio, fobj_medio, dp, tempo(ms)
data\OR30x250-0.25_10.dat, 9.04211, 51343, 15.7479, 47557.8, 47557.8, 2.03164, 27119
data\OR30x250-0.25_2.dat, 11.0629, 52046, 16.3923, 48927.2, 48927.2, 2.04234, 26048
data\OR30x250-0.25_3.dat, 11.3099, 50211, 16.2646, 47406, 47406, 2.34071, 27147
data\OR30x250-0.25_4.dat, 12.8122, 49636, 16.5804, 47490.8, 47490.8, 1.97569, 26294
data\OR30x250-0.25_5.dat, 10.1291, 50893, 16.3936, 47345.5, 47345.5, 2.15177, 25948
data\OR30x250-0.25_6.dat, 12.172, 50242, 17.0403, 47457.1, 47457.1, 1.89568, 25892
data\OR30x250-0.25_7.dat, 11.6277, 49804, 15.1143, 47839, 47839, 2.05916, 26076
data\OR30x250-0.25_8.dat, 11.3183, 50067, 16.3554, 47223.2, 47223.2, 2.01762, 26528
data\OR30x250-0.25_9.dat, 10.8414, 51243, 15.2501, 48709.2, 48709.2, 2.02386, 26167
data\OR30x250-0.50_1.dat, 8.07368, 99069, 11.3383, 95550.8, 95550.8, 1.33189, 26594
data\OR30x250-0.50_10.dat, 7.8616, 97464, 11.5532, 93559, 93559, 0.998165, 27367
data\OR30x250-0.50_2.dat, 7.81607, 99920, 11.6225, 95794.1, 95794.1, 1.18747, 27119
data\OR30x250-0.50_3.dat, 6.91081, 99086, 11.1016, 94625.2, 94625.2, 1.135, 26513
data\OR30x250-0.50_4.dat, 8.81582, 97454, 11.3888, 94704.1, 94704.1, 0.878278, 26925
data\OR30x250-0.50_5.dat, 2.99589, 104196, 11.0545, 95540, 95540, 2.17466, 26969
data\OR30x250-0.50_6.dat, 5.78908, 101061, 11.054, 95413.3, 95413.3, 1.19132, 26796
data\OR30x250-0.50_7.dat, 5.18087, 100861, 11.1537, 94507.5, 94507.5, 1.56523, 26714
data\OR30x250-0.50_8.dat, 9.86235, 93772, 11.9259, 91625.2, 91625.2, 0.829631, 27033
data\OR30x250-0.50_9.dat, 7.71974, 98607, 11.4662, 94603.6, 94603.6, 1.06314, 27601
data\OR30x250-0.75_1.dat, 2.56987, 146304, 8.91256, 136780, 136780, 2.17716, 27478
data\OR30x250-0.75_10.dat, 4.95898, 142246, 8.74333, 136582, 136582, 1.76997, 27409
