Sem restricao da velocidade, w dinamico. penalidade NAo dinamica.

c1, c2, w, penalty, epochs
0.601321,1.7986,1,329.594,600
intacia, melhor_gap, melhor_fit, gap_medio, fit_medio, fobj_medio, dp, tempo(ms)
data\OR30x250-0.25_9.dat, 5.54164, 54289, 14.5813, 49093.6, 49093.6, 2.58455, 25906
data\OR30x250-0.50_1.dat, 4.02709, 103430, 11.3022, 95589.6, 95589.6, 1.77824, 26020
data\OR30x250-0.50_10.dat, 8.18208, 97125, 11.2488, 93881, 93881, 1.21932, 26263
data\OR30x250-0.50_2.dat, 2.69393, 105472, 11.5012, 95925.7, 95925.7, 1.96832, 26597
data\OR30x250-0.50_3.dat, 8.7644, 97113, 11.0543, 94675.5, 94675.5, 0.936035, 26024
data\OR30x250-0.50_4.dat, 8.70167, 97576, 11.2157, 94889.1, 94889.1, 1.06011, 26214
data\OR30x250-0.50_5.dat, 4.52083, 102558, 11.1182, 95471.5, 95471.5, 2.40053, 26256
data\OR30x250-0.50_6.dat, 7.20698, 99540, 10.6427, 95854.5, 95854.5, 1.26181, 26597
data\OR30x250-0.50_7.dat, 8.00023, 97862, 11.4548, 94187.3, 94187.3, 1.12262, 26400
data\OR30x250-0.50_8.dat, 8.01388, 95695, 11.5803, 91984.8, 91984.8, 1.52051, 26506
data\OR30x250-0.50_9.dat, 5.50367, 100975, 11.0567, 95041.2, 95041.2, 1.55714, 26312
data\OR30x250-0.75_1.dat, 1.96187, 147217, 8.14391, 137934, 137934, 2.0069, 26001
data\OR30x250-0.75_10.dat, 1.91825, 146797, 8.45064, 137020, 137020, 1.87688, 25799
data\OR30x250-0.75_2.dat, 4.34655, 143440, 8.15193, 137734, 137734, 1.84654, 26142
data\OR30x250-0.75_3.dat, 6.60166, 142906, 9.39704, 138629, 138629, 1.4782, 26029
data\OR30x250-0.75_4.dat, 2.06938, 150063, 8.23997, 140608, 140608, 2.04311, 26004
data\OR30x250-0.75_5.dat, 2.36082, 146739, 8.08686, 138134, 138134, 2.06832, 25971
data\OR30x250-0.75_6.dat, 3.11293, 143949, 8.60009, 135797, 135797, 1.8687, 26995
data\OR30x250-0.75_7.dat, 4.49358, 140850, 8.93538, 134299, 134299, 1.59204, 26302
data\OR30x250-0.75_8.dat, 4.16449, 146544, 8.96764, 139199, 139199, 1.81902, 27284
data\OR30x250-0.75_9.dat, 4.64264, 142626, 8.20641, 137296, 137296, 1.55199, 27268
data\OR30x500-0.25_1.dat, 14.9247, 98735, 17.6896, 95526.1, 95526.1, 1.29751, 53181
data\OR30x500-0.25_10.dat, 15.0594, 99479, 17.7396, 96340.1, 96340.1, 1.25183, 54401
data\OR30x500-0.25_2.dat, 13.9326, 98814, 17.5082, 94708.8, 94708.8, 1.66244, 54737
data\OR30x500-0.25_3.dat, 13.6679, 100785, 17.4483, 96371.7, 96371.7, 1.26168, 52683
data\OR30x500-0.25_4.dat, 12.7061, 100697, 17.3282, 95365.2, 95365.2, 1.81732, 54024
data\OR30x500-0.25_5.dat, 13.525, 100765, 16.9788, 96740.4, 96740.4, 1.40023, 53357
data\OR30x500-0.25_6.dat, 14.8193, 98589, 17.3019, 95715.6, 95715.6, 1.39008, 53918
data\OR30x500-0.25_7.dat, 10.7925, 101858, 17.661, 94015.5, 94015.5, 2.0229, 55442
data\OR30x500-0.25_8.dat, 13.726, 98700, 17.909, 93914.6, 93914.6, 1.51217, 53005
data\OR30x500-0.25_9.dat, 13.2647, 100109, 17.1121, 95668.4, 95668.4, 1.5119, 51041
data\OR30x500-0.50_1.dat, 9.92371, 196460, 12.8102, 190164, 190164, 0.903601, 53234
data\OR30x500-0.50_10.dat, 9.17579, 195035, 12.5695, 187747, 187747, 1.06674, 54141
data\OR30x500-0.50_2.dat, 8.84797, 195656, 12.2755, 188299, 188299, 0.975479, 55042
data\OR30x500-0.50_3.dat, 6.15711, 202680, 12.8656, 188191, 188191, 1.61647, 54481
data\OR30x500-0.50_4.dat, 9.77376, 196612, 12.3498, 190999, 190999, 0.968339, 54467
data\OR30x500-0.50_5.dat, 6.52606, 201613, 12.7428, 188204, 188204, 1.27927, 55962
data\OR30x500-0.50_6.dat, 10.2904, 193700, 12.3467, 189260, 189260, 0.644526, 54572
data\OR30x500-0.50_7.dat, 11.0853, 191973, 12.9459, 187956, 187956, 0.630111, 54660
data\OR30x500-0.50_8.dat, 6.81669, 201781, 12.5467, 189373, 189373, 1.51727, 54361
data\OR30x500-0.50_9.dat, 9.68252, 196296, 12.6552, 189835, 189835, 0.886308, 55304
data\OR30x500-0.75_1.dat, 5.75155, 284324, 13.971, 259528, 259528, 3.32179, 53148
data\OR30x500-0.75_10.dat, 5.80892, 283112, 15.0241, 255414, 255414, 3.38673, 52740
data\OR30x500-0.75_2.dat, 4.28688, 287192, 14.0281, 257963, 257963, 4.3519, 53259
data\OR30x500-0.75_3.dat, 4.18504, 292319, 14.6645, 260347, 260347, 4.07546, 53892
data\OR30x500-0.75_4.dat, 4.43827, 288627, 12.8982, 263075, 263075, 4.34602, 53626
data\OR30x500-0.75_5.dat, 9.03003, 276969, 15.4341, 257471, 257471, 2.47356, 53071
data\OR30x500-0.75_6.dat, 7.00645, 276202, 13.4181, 257159, 257159, 2.916, 53651
data\OR30x500-0.75_7.dat, 4.99005, 288226, 12.5646, 265247, 265247, 3.76207, 55449
data\OR30x500-0.75_8.dat, 5.64287, 289683, 15.6127, 259075, 259075, 3.30391, 53425
data\OR30x500-0.75_9.dat, 6.50959, 283462, 14.4498, 259387, 259387, 3.16671, 54126
data\OR5x100-0.25_1.dat, 3.05566, 23636, 10.1209, 21913.4, 21913.4, 3.00376, 7142
data\OR5x100-0.25_10.dat, 3.8794, 23464, 9.04401, 22203.3, 22203.3, 2.75113, 7184
data\OR5x100-0.25_2.dat, 5.30197, 22987, 10.1928, 21799.8, 21799.8, 2.44666, 6545
data\OR5x100-0.25_3.dat, 1.97868, 23085, 10.2829, 21129.3, 21129.3, 3.47609, 6661
data\OR5x100-0.25_4.dat, 1.8144, 23107, 9.02184, 21410.8, 21410.8, 2.39525, 6946
data\OR5x100-0.25_5.dat, 3.15952, 23233, 10.2894, 21522.5, 21522.5, 2.737, 6622
data\OR5x100-0.25_6.dat, 4.22541, 23573, 10.4438, 22042.5, 22042.5, 2.67367, 6573
data\OR5x100-0.25_7.dat, 5.1776, 24266, 11.1062, 22748.8, 22748.8, 2.28755, 6843
data\OR5x100-0.25_8.dat, 6.00171, 22005, 10.7951, 20882.9, 20882.9, 2.01031, 6512
data\OR5x100-0.25_9.dat, 4.82739, 23047, 10.4983, 21673.7, 21673.7, 2.02, 6659
data\OR5x100-0.50_1.dat, 0.804547, 42413, 7.47893, 39559.2, 39559.2, 1.78597, 6846
data\OR5x100-0.50_10.dat, 1.58908, 43846, 6.95418, 41455.6, 41455.6, 1.70524, 6846
data\OR5x100-0.50_2.dat, 1.14467, 42058, 6.77675, 39661.8, 39661.8, 1.78583, 6323
data\OR5x100-0.50_3.dat, 2.97608, 40719, 7.07555, 38998.5, 38998.5, 1.33812, 6565
data\OR5x100-0.50_4.dat, 4.23375, 43181, 7.85851, 41546.6, 41546.6, 1.36941, 6798
data\OR5x100-0.50_5.dat, 1.2696, 41682, 7.60758, 39006.2, 39006.2, 1.89364, 6856
data\OR5x100-0.50_6.dat, 3.11692, 41589, 8.03317, 39478.6, 39478.6, 1.73946, 6532
data\OR5x100-0.50_7.dat, 0.723654, 41705, 7.47062, 38870.7, 38870.7, 2.05929, 6276
data\OR5x100-0.50_8.dat, 3.69614, 43356, 7.27536, 41744.6, 41744.6, 1.48839, 6668
data\OR5x100-0.50_9.dat, 5.08736, 41231, 7.34444, 40250.5, 40250.5, 1.0863, 6620
data\OR5x100-0.75_1.dat, 0.645248, 59436, 4.78765, 56957.9, 56957.9, 1.66747, 6711
data\OR5x100-0.75_10.dat, 1.14734, 59277, 4.61186, 57199.5, 57199.5, 1.56897, 6306
data\OR5x100-0.75_2.dat, 1.00836, 61455, 4.75948, 59126.3, 59126.3, 1.66358, 6931
data\OR5x100-0.75_3.dat, 0.608675, 59438, 4.70241, 56989.9, 56989.9, 1.75518, 6767
data\OR5x100-0.75_4.dat, 0.7391, 60032, 4.66096, 57660.1, 57660.1, 1.34585, 6585
data\OR5x100-0.75_5.dat, 1.97574, 59884, 5.60623, 57666.1, 57666.1, 1.5658, 6839
data\OR5x100-0.75_6.dat, 1.29921, 58193, 4.87096, 56087.1, 56087.1, 1.31724, 6064
data\OR5x100-0.75_7.dat, 1.52101, 60602, 4.94881, 58492.6, 58492.6, 1.31115, 6486
data\OR5x100-0.75_8.dat, 0.768856, 61047, 4.52541, 58736, 58736, 1.75231, 6597
data\OR5x100-0.75_9.dat, 1.73078, 58424, 5.41997, 56230.7, 56230.7, 1.15427, 6763
data\OR5x250-0.25_1.dat, 11.0011, 52787, 16.0513, 49791.7, 49791.7, 1.82987, 18712
data\OR5x250-0.25_10.dat, 8.39227, 54011, 15.0198, 50103.5, 50103.5, 2.17951, 18739
data\OR5x250-0.25_2.dat, 13.2499, 53327, 16.3989, 51391.3, 51391.3, 1.59688, 19722
data\OR5x250-0.25_3.dat, 13.3414, 53841, 15.8412, 52287.9, 52287.9, 1.46942, 20331
data\OR5x250-0.25_4.dat, 9.50339, 53812, 14.4448, 50873.7, 50873.7, 1.98779, 19290
data\OR5x250-0.25_5.dat, 11.5757, 52127, 15.1657, 50010.7, 50010.7, 1.70828, 20165
